,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.07453296574869106,,Intercept,393.9203790022838,394.0,0.07962099771617659,394.0
1,1,grade:A,0.78284298448569,2.67568279840935e-18,grade,60.21671343664704,60.0,-0.21671343664704068,60.0
2,2,grade:B,0.5935482884242156,1.04017418892845e-21,grade,45.656061181074115,46.0,0.34393881892588496,46.0
3,3,grade:C,0.4347398061741586,4.5199833906634296e-14,grade,33.4404252790124,33.0,-0.4404252790124019,33.0
4,4,grade:D,0.2743733787504476,5.708297471811449e-07,grade,21.104951376315665,21.0,-0.10495137631566465,21.0
5,5,grade:E,0.16040762299893063,0.0011421786759075424,grade,12.33864268902685,12.0,-0.3386426890268499,12.0
6,6,grade:F,-0.003944950020565779,0.9387415833187173,grade,-0.3034477278561429,-0.0,0.3034477278561429,-0.0
7,7,home_ownership:OWN,0.08726576473504302,1.4921992367864634e-05,home_ownership,6.712530676036225,7.0,0.28746932396377467,7.0
8,8,home_ownership:MORTGAGE,0.10416401587408051,2.2046358679197888e-16,home_ownership,8.01235345861941,8.0,-0.012353458619410063,8.0
9,9,addr_state:NM_VA,0.05275631988397402,0.09978595934026512,addr_state,4.058045175575586,4.0,-0.05804517557558597,4.0
10,10,addr_state:NY,0.070869855284701,0.0034655184733470333,addr_state,5.451348292760353,5.0,-0.45134829276035315,5.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.0674471459860051,0.0035744461878321923,addr_state,5.188071608800639,5.0,-0.1880716088006391,5.0
12,12,addr_state:CA,0.07191315480307912,0.0006842597016806473,addr_state,5.531599466203571,6.0,0.4684005337964292,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.08843086813099123,0.0003838626429617965,addr_state,6.802151070813052,7.0,0.1978489291869483,7.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14382659049913873,1.7122444653140324e-10,addr_state,11.063220538849873,11.0,-0.06322053884987255,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10610304062622429,0.00037374730725918734,addr_state,8.161504310272143,8.0,-0.16150431027214296,8.0
16,16,addr_state:GA_WA_OR,0.19252606224587782,5.037555042394014e-13,addr_state,14.809210721818781,15.0,0.19078927818121905,15.0
17,17,addr_state:WI_MT,0.25696900169919995,7.180538650278469e-08,addr_state,19.766197109868642,20.0,0.2338028901313578,20.0
18,18,addr_state:TX,0.2350933641548356,1.323135707302972e-19,addr_state,18.08351102420567,18.0,-0.08351102420567003,18.0
19,19,addr_state:IL_CT,0.27307089186886413,8.824677102573413e-21,addr_state,21.00476336817399,21.0,-0.0047633681739895906,21.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32976750396947174,9.572519827470915e-27,addr_state,25.365897990762452,25.0,-0.365897990762452,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5974872884607296,6.802733324225974e-28,addr_state,45.95905123288066,46.0,0.040948767119338925,46.0
22,22,verification_status:Not Verified,0.09104853897183997,6.048096460518345e-10,verification_status,7.003503753303288,7.0,-0.00350375330328756,7.0
23,23,verification_status:Source Verified,-0.004624725547034192,0.7306671179461319,verification_status,-0.35573643566833196,-0.0,0.35573643566833196,-0.0
24,24,purpose:credit_card,0.32891839537680967,2.9385254389425658e-31,purpose,25.30058409025593,25.0,-0.30058409025593136,25.0
25,25,purpose:debt_consolidation,0.23021884775303464,8.196528124579333e-19,purpose,17.708560538442136,18.0,0.2914394615578644,18.0
26,26,purpose:oth__med__vacation,0.24940476881014645,1.0843012438395646e-15,purpose,19.184352150821788,19.0,-0.18435215082178757,19.0
27,27,purpose:major_purch__car__home_impr,0.2905207618484651,1.334701512190437e-20,purpose,22.347016975720486,22.0,-0.34701697572048573,22.0
28,28,initial_list_status:w,0.06781158079285969,1.9809335261443643e-07,initial_list_status,5.216104134818766,5.0,-0.21610413481876556,5.0
